Name,Mpn,Count,Device,Value,Package,Mfg,Cost,Description
"C15,C16",CL21A106KPFNNNE,2,CAP-0805,10u,0805,Samsung,0.1088,""
"C3,C4,C6,C7,C9,C10,C12,C13",MF-CAP-0603-0.1uF,8,CAP-0603,100n,0603,Generic,,""
"C5,C8,C11,C14",MF-CAP-0603-0.01uF,4,CAP-0603,10n,0603,Generic,,""
D1,MBR120VLSFT3G,1,DIODE-SCHOTTKY-SOD-123,MBR120,SOD-123,ON Semiconductor,0.16,""
"FB1,FB2,FB3,FB4",BK1608HW601-T,4,FER-0603,600R,0603,Taiyo Yuden,0.11350000000000002,""
Q1,MMBT2222LT1G,1,TRANSISTOR_NPN-SOT23-3,MMBT2222,SOT23-3,ON Semiconductor,0.0642,""
Q2,DMP2045U-7,1,MOSFET-P,DMP2045,SOT23-R,Diodes Inc.,0.124,""
"R1,R2,R3",MF-RES-0603-1K,3,RES-0603,1k,0603,Generic,,""
R12,MF-RES-0603-100K,1,RES-0603,100k,0603,Generic,,""
"R4,R6,R8,R10,R16",MF-RES-0603-10K,5,RES-0603,10k,0603,Generic,,""
"R5,R7,R9,R11",ERA3ARW432V,4,RES-0603,4k3 0.05%,0603,Panasonic,1.7916,""
RTD1,3221-16-0300-00,1,CONN-16-ZT,,CONN-2X8-050-SMT-ZT,CNC Tech,0.946,""
U2,AT21CS01-STUM10-T,1,AT21CS01,,SOT23,Microchip,0.1836,""
"U3,U4,U5,U6",MAX31865ATP+,4,MAX31865,,QFN65P500X500X100-21T325,Maxim Integrated,12.336,""
U7,AP2112K-3.3TRG1,1,MIC5225,3v3,SOT25,Diodes Inc.,0.15,""
